#,Team,M,W,D,L,Goals,Diff,Pts
1,Manchester City,10,8,2,0,27:3,24,26
2,Liverpool FC,10,8,2,0,20:4,16,26
3,Chelsea FC,10,7,3,0,24:7,17,24
4,Arsenal FC,10,7,1,2,24:13,11,22
5,Tottenham Hotspur,10,7,0,3,16:8,8,21
6,AFC Bournemouth,10,6,2,2,19:12,7,20
7,Watford FC,10,6,1,3,16:12,4,19
8,Manchester United,10,5,2,3,17:17,0,17
9,Everton FC,10,4,3,3,16:14,2,15
10,Wolverhampton Wanderers,10,4,3,3,9:9,0,15
11,Brighton & Hove Albion,10,4,2,4,11:13,-2,14
12,Leicester City,10,4,1,5,16:16,0,13
13,West Ham United,10,2,2,6,9:15,-6,8
14,Crystal Palace,10,2,2,6,7:13,-6,8
15,Burnley FC,10,2,2,6,10:21,-11,8
16,Southampton FC,10,1,4,5,6:14,-8,7
17,Cardiff City,10,1,2,7,9:23,-14,5
18,Fulham FC,10,1,2,7,11:28,-17,5
19,Newcastle United,10,0,3,7,6:14,-8,3
20,Huddersfield Town,10,0,3,7,4:21,-17,3
