#,Team,M,W,D,L,Goals,Diff,Pts
1,Chelsea FC,8,7,1,0,19:6,13,22
2,Manchester United,8,6,0,2,21:11,10,18
3,Manchester City,8,5,3,0,17:9,8,18
4,Everton FC,8,4,3,1,15:9,6,15
5,Tottenham Hotspur,8,4,2,2,15:12,3,14
6,West Bromwich Albion,8,4,2,2,12:9,3,14
6,West Ham United,8,4,2,2,12:9,3,14
8,Fulham FC,8,4,1,3,16:11,5,13
9,Arsenal FC,8,3,3,2,13:6,7,12
10,Swansea City,8,3,2,3,14:12,2,11
11,Sunderland AFC,8,2,5,1,9:8,1,11
12,Newcastle United,8,2,4,2,9:12,-3,10
13,Liverpool FC,8,2,3,3,10:12,-2,9
14,Stoke City,8,1,5,2,8:9,-1,8
15,Norwich City,8,1,3,4,6:17,-11,6
16,Wigan Athletic,8,1,2,5,8:15,-7,5
17,Aston Villa,8,1,2,5,6:13,-7,5
18,Southampton FC,8,1,1,6,13:24,-11,4
19,Reading FC,8,0,3,5,8:17,-9,3
20,Queens Park Rangers,8,0,3,5,7:17,-10,3
