#,Team,M,W,D,L,Goals,Diff,Pts
1,Manchester United,26,21,2,3,62:31,31,65
2,Manchester City,26,15,8,3,48:24,24,53
3,Chelsea FC,26,14,7,5,55:28,27,49
4,Tottenham Hotspur,26,14,6,6,44:30,14,48
5,Arsenal FC,26,12,8,6,50:29,21,44
6,Everton FC,26,10,12,4,40:32,8,42
7,Swansea City,26,9,10,7,38:29,9,37
8,West Bromwich Albion,26,11,4,11,36:35,1,37
9,Liverpool FC,26,9,9,8,44:34,10,36
10,Stoke City,26,7,12,7,26:31,-5,33
11,West Ham United,26,8,6,12,29:38,-9,30
12,Fulham FC,26,7,8,11,36:42,-6,29
13,Sunderland AFC,26,7,8,11,28:34,-6,29
14,Norwich City,26,6,11,9,25:40,-15,29
15,Southampton FC,26,6,9,11,36:45,-9,27
16,Newcastle United,26,7,6,13,34:46,-12,27
17,Aston Villa,26,5,9,12,25:50,-25,24
18,Reading FC,26,5,8,13,33:48,-15,23
19,Wigan Athletic,26,5,6,15,30:51,-21,21
20,Queens Park Rangers,26,2,11,13,19:41,-22,17
