#,Team,M,W,D,L,Goals,Diff,Pts
1,Fulham FC,1,1,0,0,5:0,5,3
1,Swansea City,1,1,0,0,5:0,5,3
3,West Bromwich Albion,1,1,0,0,3:0,3,3
4,Chelsea FC,1,1,0,0,2:0,2,3
5,Manchester City,1,1,0,0,3:2,1,3
6,Newcastle United,1,1,0,0,2:1,1,3
7,Everton FC,1,1,0,0,1:0,1,3
7,West Ham United,1,1,0,0,1:0,1,3
9,Reading FC,1,0,1,0,1:1,0,1
9,Stoke City,1,0,1,0,1:1,0,1
11,Arsenal FC,1,0,1,0,0:0,0,1
11,Sunderland AFC,1,0,1,0,0:0,0,1
13,Southampton FC,1,0,0,1,2:3,-1,0
14,Tottenham Hotspur,1,0,0,1,1:2,-1,0
15,Aston Villa,1,0,0,1,0:1,-1,0
15,Manchester United,1,0,0,1,0:1,-1,0
17,Wigan Athletic,1,0,0,1,0:2,-2,0
18,Liverpool FC,1,0,0,1,0:3,-3,0
19,Norwich City,1,0,0,1,0:5,-5,0
19,Queens Park Rangers,1,0,0,1,0:5,-5,0
