#,Team,M,W,D,L,Goals,Diff,Pts
1,FC Barcelona,12,7,2,3,29:14,15,23
2,Real Madrid,12,6,5,1,21:9,12,23
3,Real Sociedad,12,7,1,4,20:13,7,22
4,Atlético Madrid,12,5,6,1,12:7,5,21
5,Sevilla FC,12,6,3,3,15:13,2,21
6,Granada CF,12,6,2,4,19:15,4,20
7,Getafe CF,12,5,4,3,18:15,3,19
8,Villarreal CF,12,5,3,4,25:16,9,18
9,CA Osasuna,12,4,6,2,16:13,3,18
10,Athletic Bilbao,12,4,5,3,11:7,4,17
11,Levante UD,12,5,2,5,15:14,1,17
12,Valencia CF,12,4,5,3,17:18,-1,17
13,Real Valladolid,12,4,5,3,14:14,0,17
14,SD Eibar,12,4,3,5,14:17,-3,15
15,Real Betis,12,3,4,5,14:21,-7,13
16,CD Alavés,12,3,3,6,11:18,-7,12
17,RCD Mallorca,12,3,2,7,9:18,-9,11
18,Celta Vigo,12,2,3,7,6:15,-9,9
19,Espanyol Barcelona,12,2,2,8,6:20,-14,8
20,CD Leganés,12,1,2,9,6:21,-15,5
