#,Team,M,W,D,L,Goals,Diff,Pts
1,Manchester United,28,17,9,2,62:27,35,60
2,Arsenal FC,28,17,6,5,60:30,30,57
3,Chelsea FC,28,15,6,7,51:24,27,51
4,Manchester City,28,14,8,6,44:25,19,50
5,Tottenham Hotspur,28,13,9,6,41:34,7,48
6,Liverpool FC,28,11,6,11,36:35,1,39
7,Bolton Wanderers,28,9,10,9,39:38,1,37
8,Sunderland AFC,28,9,10,9,33:35,-2,37
9,Newcastle United,28,9,9,10,43:39,4,36
10,Everton FC,28,7,13,8,36:37,-1,34
11,Stoke City,28,10,4,14,32:35,-3,34
12,Aston Villa,28,8,9,11,35:47,-12,33
13,Fulham FC,28,6,14,8,29:29,0,32
14,Blackburn Rovers,28,9,5,14,35:46,-11,32
15,Blackpool FC,28,9,5,14,42:55,-13,32
16,Birmingham City,28,6,13,9,27:39,-12,31
17,West Bromwich Albion,28,7,8,13,36:53,-17,29
18,Wolverhampton Wanderers,28,8,4,16,31:46,-15,28
19,West Ham United,28,6,10,12,33:49,-16,28
20,Wigan Athletic,28,5,12,11,27:49,-22,27
